143, 2023-08-01, 1, Monthly Stand Fees, 1922, 175.0, 26.25, 201.25
144, 2023-08-01, n/a, Monthly Stand Fees, 1923, 175.0, 26.25, 201.25
145, 2023-08-01, n/a, Monthly Stand Fees, 1924, 175.0, 26.25, 201.25
146, 2023-08-01, n/a, Monthly Stand Fees, 1925, 175.0, 26.25, 201.25
147, 2023-08-01, n/a, Monthly Stand Fees, 1926, 175.0, 26.25, 201.25
148, 2023-08-01, 3, Monthly Stand Fees, 1927, 175.0, 26.25, 201.25
149, 2023-08-01, 3, Cab Fare, 1927, 50.00, 7.50, 57.50
150, 2023-08-01, n/a, Cab Fare, 1923, 22.00, 3.30, 25.30
151, 2023-08-01, n/a, Cab Fare, 1924, 31.00, 4.65, 35.65
152, 2023-08-01, n/a, Cab Fare, 1925, 22.00, 3.30, 25.30
153, 2023-08-01, 1, Cab Fare, 1922, 16.00, 2.40, 18.40
154, 2023-08-01, n/a, Cab Fare, 1926, 74.00, 11.1, 85.10
155, 2023-08-01, n/a, Cab Fare, 1923, 55.00, 8.25, 63.25
156, 2023-08-01, n/a, Cab Fare, 1924, 41.00, 6.15, 47.15
